title,angajator,domeniu,tip_job,nivel_job,orase,actualizat_la,remote_work
IT Recruiter,SBP Romania,['IT Software'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
IT Team Lead,Electromontaj,"['IT Hardware', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
"Bosch Video Systems Sales Engineer (Romania, Bulgaria)",Bosch Romania,['Sales '],full-time,Manager,['BUCHAREST'],09.04.2024,  On-site
SAP S/4 HANA Authorization Consultant - German,Bosch Timisoara,['Management - Consulting'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
"IT Infrastructure Engineer, CljP",Bosch Romania,['IT Software'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
Field Engineer Industrial Service,Bosch Romania,['Engineering'],full-time,Manager,['BUCHAREST'],09.04.2024,  On-site
"Automation Engineer (PLC), Engineering Center, Cluj",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
"Supplier Quality Engineer for Mechanical Components, CljP",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
"INGINER MENTENANTA (cunoscator NI LabView , SPEA Leonardo )",ARTEM HOMINE ,"['Inginerie', 'IT Hardware', 'Productie']",full-time ,1 - 5 ani experienta,"['Ilfov', ' Otopeni', ' Ploiesti']",09.04.2024,  On-site
"Software Support Supervizor (on-site, Sibiu)",Working4U Exclusive,"['Customer support - Client service', 'IT Software']",full-time ,1 - 5 ani experienta,['Sibiu'],09.04.2024,  On-site
IT Business Analyst (Wealth & Distribution Technology),MassMutual Romania,"['Acquisitions - Logistics - Supplies', 'IT Software', 'Management - Consulting']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Oradea']",09.04.2024,  Hybrid 
Cloud Engineer (HavenTech),MassMutual Romania,"['Engineering', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Oradea']",09.04.2024,  Hybrid 
Solutions Architect,MassMutual Romania,"['IT Hardware', 'IT Software', 'Management - Consulting']",full-time,0 - 1 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Oradea']",09.04.2024,  Hybrid 
Executive Director,HR Gold,"['Non profit Charitable Organizations', 'Legal Services', 'Public Relations']",full-time,Manager,['BUCHAREST'],09.04.2024,  Remote 
Consultant Financiar,JHN’S OUTLOOK,"['Asigurari - Intermedieri financiare', 'Banci', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
 Internship_ Supervizare AGV Montaj Dacia,Renault Group Romania,['Inginerie'],part-time ,Student/Absolvent,['Pitesti'],09.04.2024,  On-site
Controlor gestiune - Agribusiness,ABC Human Capital,"['Achizitii - Logistica - Aprovizionare', 'Agricultura']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Inginer Mecanic Design - SolidWorks,Akkodis Romania,"['Inginerie', 'Productie']",full-time ,1 - 5 ani experienta,['Mioveni'],09.04.2024,  Hybrid 
Area Sales Manager Traditional Trade Channel,Pendl & Piswanger Romania,"['Retail - Trade', 'Sales ']",full-time,peste 5 years of experience,"['BUCHAREST', ' Ilfov']",09.04.2024,  Hybrid 
"GAcademy - Language upskilling program for French speakers (Bucharest, RO)",Genpact,"['Quality Control', 'Customer Support - Client Service', 'Education - Training']",full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  On-site
Ambalator Manual - Brasov,Bimbo Romania (Vel Pitar),['Productie'],full-time ,0 - 1 an experienta,['Brasov'],09.04.2024,  On-site
Corporate Affairs Internship,JTI Romania ,"['Internship', 'Public Relations']",temporary,Student/Graduate,['BUCHAREST'],09.04.2024,  Hybrid 
Operations Back-Office Internship Program,UniCredit Bank,['Banci'],stagiu de practica ,Student/Absolvent,['BUCURESTI'],09.04.2024,  Hybrid 
Electrify Your Career @ Schneider Electric (Summer Internship),Schneider Electric,"['Inginerie', 'IT Hardware', 'Marketing']",part-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  Hybrid 
Front Desk Consultant,Systematic,['Administrative Assistance'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Inginer Electrician pentru Tensiune Medie,SIMTEL Team,"['Constructii', 'Inginerie']",full-time ,1 - 5 ani experienta,"['BUCURESTI', ' Ilfov', ' Ploiesti']",09.04.2024,  On-site
Key Account Manager,HR Gold,"['Insurances - Financial Intermediaries', 'Banks - Financial Institutions', 'Telecommunication']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
GET HIRED IN 1 DAY IN P&G,P&G,['Achizitii - Logistica - Aprovizionare'],full-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  On-site
Inginer mecanic - Fiabilitate-Durabilitate,Akkodis Romania,"['Inginerie', 'Productie', 'Transporturi']",full-time ,1 - 5 ani experienta,['Titu'],09.04.2024,  Hybrid 
Reprezentant vanzari B2B servicii transport,DGH Log& Sped,"['Achizitii - Logistica - Aprovizionare', 'Transporturi', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
CONSULTANT JUNIOR PENTRU AUR DE INVESTITII SI VALUTA - CLUJ NAPOCA,TAVEX,"['Asigurari - Intermedieri financiare', 'Customer support - Client service', 'Retail - Comert']",full-time ,Student/Absolvent,['Cluj Napoca'],09.04.2024,  On-site
CONSULTANT JUNIOR PENTRU AUR DE INVESTITII SI VALUTA - BUCURESTI,TAVEX,"['Customer support - Client service', 'Retail - Comert', 'Vanzari']",full-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  On-site
Reprezentant Vanzari Iasi,L'Oreal Romania,['Vanzari'],full-time ,1 - 5 ani experienta,['Iasi'],09.04.2024,  On-site
B2B Sales Representative,HR Gold,"['Insurances - Financial Intermediaries', 'Banks - Financial Institutions', 'Telecommunication']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Department Manager Sales,Peek  Cloppenburg,"['Customer support - Client service', 'Retail - Comert', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Assistant Department Manager Sales (m/f/d),Peek  Cloppenburg,"['Customer support - Client service', 'Retail - Comert', 'Vanzari']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Consilier de vânzări (m/f),Peek  Cloppenburg,"['Customer support - Client service', 'Retail - Comert', 'Vanzari']",full-time ,0 - 1 an experienta,"['Cluj Napoca', ' Floresti']",09.04.2024,  On-site
Consilier de vânzări (m/f),Peek  Cloppenburg,"['Customer support - Client service', 'Retail - Comert', 'Vanzari']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Consilier de vânzări (m/f),Peek  Cloppenburg,"['Customer support - Client service', 'Retail - Comert', 'Vanzari']",full-time ,0 - 1 an experienta,['Pitesti'],09.04.2024,  On-site
Consilier de vânzări (m/f),Peek  Cloppenburg,"['Customer support - Client service', 'Retail - Comert', 'Vanzari']",part-time ,0 - 1 an experienta,['Timisoara'],09.04.2024,  On-site
BACK-OFFICE ANALYST with ITALIAN - On Site - Bucharest,Teleperformance Romania,"['Banks - Financial Institutions', 'Accounting - Finance']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
FirstGen PepsiCo Commercial Management Trainee,PepsiCo,"['Management - Consulting', 'Marketing', 'Sales ']",stagiu de internship,Student/Graduate,"['BUCHAREST', ' Ilfov', ' Popesti Leordeni']",09.04.2024,  On-site
Technical Bootcamp @PepsiCo for future engineers,PepsiCo,"['Engineering', 'Internship', 'Telecommunication']",full-time,Student/Graduate,"['BUCHAREST', ' Ilfov', ' Popesti Leordeni']",09.04.2024,  On-site
Cost & Commercial Engineer,Optim Project Management,"['Construction', 'Engineering']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Materials Manager,Schurter Electronic Components,"['Acquisitions - Logistics - Supplies', 'Production']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Ilfov', ' Ploiesti']",09.04.2024,  On-site
Inside Sales Representative ,EUROPRIM GROUP,['Vanzari'],full-time ,0 - 1 an experienta,"['Cluj Napoca', ' Timisoara']",09.04.2024,  On-site
Junior Contabil - EY Express,EY Romania,['Contabilitate Finante'],full-time ,Student/Absolvent,"['BUCURESTI', ' Cluj Napoca', ' Iasi']",09.04.2024,  Hybrid 
INGINER ECHIPAMENTE DE TESTARE ,ARTEM HOMINE ,"['Inginerie', 'IT Hardware', 'Telecomunicatii']",full-time ,1 - 5 ani experienta,"['BUCURESTI', ' Otopeni', ' Ploiesti']",09.04.2024,  On-site
Agent Vanzari - Chitila,Bimbo Romania (Vel Pitar),"['Retail - Comert', 'Vanzari']",full-time ,1 - 5 ani experienta,"['BUCURESTI', ' Chitila']",09.04.2024,  On-site
"SOFTWARE ENGINEER (ANDROID) - RELOCATION TO POLAND, PORTUGAL OR SPAIN",Revolut,"['Engineering', 'IT Software']",full-time,peste 5 years of experience,['Abroad'],09.04.2024,  Remote 
BACKEND SOFTWARE ENGINEER (JAVA) - CORE PLATFORM,Revolut,"['Engineering', 'IT Software']",full-time,peste 5 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Iasi']",09.04.2024,  Remote 
BACKEND SOFTWARE ENGINEER (JAVA),Revolut,"['Engineering', 'IT Software']",full-time,peste 5 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Iasi']",09.04.2024,  Remote 
"BACKEND SOFTWARE ENGINEER (JAVA) - RELOCATION TO POLAND, PORTUGAL OR SPAIN",Revolut,"['Engineering', 'IT Software']",full-time,peste 5 years of experience,['Abroad'],09.04.2024,  Remote 
Site Manager (Warehouse & Transport services),Pendl & Piswanger Romania,"['Achizitii - Logistica - Aprovizionare', 'Productie', 'Transporturi']",full-time ,peste 5 ani experienta,['Cluj Napoca'],09.04.2024,  On-site
Production Manager Plastic recycling factoy,Pendl & Piswanger Romania,['Production'],full-time,peste 5 years of experience,"['BUCHAREST', ' Ilfov', ' Ploiesti']",09.04.2024,  On-site
Tehnician,Effective Human Resources,['IT Hardware'],full-time ,1 - 5 ani experienta,"['Braila', ' Galati']",09.04.2024,  On-site
"Business Development Manager zona Iasi, Suceava, Neamt, Botosani",Effective Human Resources,['Vanzari'],full-time ,peste 5 ani experienta,"['Iasi', ' Piatra Neamt', ' Suceava']",09.04.2024,  On-site
Marketing Internship,JTI Romania ,"['Internship', 'Marketing']",temporary,Student/Graduate,['BUCHAREST'],09.04.2024,  Hybrid 
Moderator de Continut pentru Limba Germana,Genpact,"['IT Hardware', 'IT Software']",full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  On-site
Digital Marketing Manager,IUTTA,"['Marketing', 'Publicitate - Agentii publicitate', 'Relatii Publice']",full-time ,Manager,['BUCURESTI'],09.04.2024,  On-site
Electronics Technician,Philip Morris Romania,['Productie'],full-time ,1 - 5 ani experienta,"['BUCURESTI', ' Otopeni', ' Ploiesti']",09.04.2024,  On-site
Operational Risk Specialist @ING Hubs Romania,ING Hubs Romania,['Others'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Mid-Senior Content Strategist,Upswing,"['Internet - eCommerce', 'Marketing', 'Public Relations']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Remote 
INTERNSHIP - Buyer Production Materials,JTI Romania ,"['Acquisitions - Logistics - Supplies', 'Internship']",full-time,Student/Graduate,['BUCHAREST'],09.04.2024,  Hybrid 
OPERATOR CALL CENTER,Klintensiv,"['Customer support - Client service', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Operator call center cu limba romana,Trenkwalder Romania,['Customer support - Client service'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
(JUNIOR) ASSOCIATE WITH FRENCH | FLEXIBLE INTERNSHIP IN AUDIT ACADEMY,KPMG in Romania,"['Accounting - Finance', 'Education - Training', 'Management - Consulting']",full-time,Student/Graduate,"['BUCHAREST', ' Ilfov', ' Otopeni']",09.04.2024,  On-site
(JUNIOR) ASSOCIATE WITH GERMAN | FLEXIBLE INTERNSHIP IN AUDIT ACADEMY,KPMG in Romania,"['Administration - Political Sciences', 'Accounting - Finance', 'Management - Consulting']",full-time,Student/Graduate,"['BUCHAREST', ' Buftea', ' Otopeni']",09.04.2024,  On-site
(JUNIOR) ASSOCIATE WITH ENGLISH | FLEXIBLE INTERNSHIP IN AUDIT ACADEMY (BUCHAREST),KPMG in Romania,"['Accounting - Finance', 'Legal Services', 'Management - Consulting']",full-time,Student/Graduate,"['BUCHAREST', ' Ilfov', ' Otopeni']",09.04.2024,  On-site
Recruitment Internship,Catalyst Solutions,"['Internship', 'Marketing', 'Human Resources - Psychology']",full-time,Student/Graduate,"['BUCHAREST', ' Ilfov']",09.04.2024,  Hybrid 
Reprezentant medical (Suceava/Iasi/Sibiu),leoHR,"['Farmacie - Medicina', 'Vanzari']",full-time ,1 - 5 ani experienta,"['Iasi', ' Sibiu', ' Suceava']",09.04.2024,  On-site
Sales Internship (B2B sales for HR and Employer Branding Services),Catalyst Solutions,"['Customer Support - Client Service', 'Internship', 'Sales ']",full-time,Student/Graduate,"['BUCHAREST', ' Ploiesti']",09.04.2024,  Hybrid 
Junior Sales Executive (B2B sales for HR and Employer Branding Services),Catalyst Solutions,"['Customer Support - Client Service', 'Sales ']",full-time,0 - 1 years of experience,"['BUCHAREST', ' Ploiesti']",09.04.2024,  Hybrid 
Agent Transporturi,PNG Distribution,['Transporturi'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
AERO Stress Engineer,Akkodis Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Cei Mai Doriti Angajatori din Iasi in 2024,Cei Mai Doriti Angajatori,"['Contabilitate Finante', 'Inginerie', 'IT Software']",proiect cariera ,1 - 5 ani experienta,"['Iasi', ' Piatra Neamt', ' Suceava']",09.04.2024,  Remote 
Cei Mai Doriti Angajatori din Brasov in 2024,Cei Mai Doriti Angajatori,"['Contabilitate Finante', 'Inginerie', 'IT Software']",proiect cariera ,1 - 5 ani experienta,"['Brasov', ' Miercurea-Ciuc', ' Satu-Mare']",09.04.2024,  Remote 
Cei Mai Doriti Angajatori din Sibiu in 2024,Cei Mai Doriti Angajatori,"['Inginerie', 'IT Software', 'Productie']",proiect cariera ,1 - 5 ani experienta,"['Sibiu', ' Targu Mures', ' Zalau']",09.04.2024,  Remote 
Cei Mai Doriti Angajatori din Cluj in 2024,Cei Mai Doriti Angajatori,"['Contabilitate Finante', 'Inginerie', 'IT Software']",proiect cariera ,1 - 5 ani experienta,"['Alba Iulia', ' Bistrita', ' Cluj Napoca']",09.04.2024,  Remote 
Cei Mai Doriti Angajatori din Bucuresti in 2024,Cei Mai Doriti Angajatori,"['Banci', 'Inginerie', 'IT Software']",proiect cariera ,1 - 5 ani experienta,"['BUCURESTI', ' Ilfov', ' Ploiesti']",09.04.2024,  Remote 
Actuarial Specialist,Allianz Services,['Asigurari - Intermedieri financiare'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Sr Data Associate,Amazon ,['IT Software'],full-time,0 - 1 years of experience,"['BUCHAREST', ' Timisoara']",09.04.2024,  On-site
CONTABIL,FlexiWork Recruitment ,['Hoteluri - Restaurante - Cafenele'],full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
Consilier Juridic,Baker Tilly ,['Legal Services'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Ambasador ING Bank,ING Office Titulescu ,"['Banci', 'Customer support - Client service', 'Vanzari']",part-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  On-site
Service Desk Technical Support,Trenkwalder Romania,"['Customer support - Client service', 'Inginerie', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Marketing & Communication Intern – 3/6 luni,Catalyst Solutions,"['Internship', 'Marketing', 'Public Relations']",full-time,0 - 1 years of experience,"['BUCHAREST', ' Ilfov']",09.04.2024,  Hybrid 
Contabil junior/Junior Accountant/Economist,Baker Tilly ,['Accounting - Finance'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
GREEK - Game presenter online casino/ GREACA - Prezentator jocuri tip cazino,PTR Live Technologies,['Altele'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
ROMANIAN/ENGLISH - Game presenter online casino/ ROMANA/ENGLEZA - Prezentator jocuri tip cazino,PTR Live Technologies,['Altele'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Key Account Manager @ UNIVERSUM Events,Universum Events,"['IT Software', 'Marketing', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Digital Marketing Specialist @ UNIVERSUM Events,Universum Events,"['Marketing', 'Media - Jurnalism', 'Publicitate - Agentii publicitate']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Junior Auditor,Baker Tilly ,"['Insurances - Financial Intermediaries', 'Banks - Financial Institutions', 'Accounting - Finance']",full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Accounts Payable Expert with German,Talent Stream,['Contabilitate Finante'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Brand Communications Specialist ,Catalyst Solutions,"['Marketing', 'Advertising', 'Public Relations']",full-time,0 - 1 years of experience,"['BUCHAREST', ' Ilfov']",09.04.2024,  On-site
"Computer Vision Engineer, Mobility Aftermarket Technology, Engineering Center, Cluj/Bucharest",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],08.04.2024,  On-site
Project Manager SAP S/4HANA Deploy Expert,Bosch Timisoara,"['Acquisitions - Logistics - Supplies', 'IT Software', 'Management - Consulting']",full-time,1 - 5 years of experience,"['Arad', ' Timisoara', ' Titu']",05.04.2024,  On-site
"SAP Logistics Specialist, BljP",Bosch Romania,"['Acquisitions - Logistics - Supplies', 'Accounting - Finance', 'Management - Consulting']",full-time,1 - 5 years of experience,['Blaj'],04.04.2024,  On-site
"Production Responsible, BljP",Bosch Romania,"['Quality Control', 'Engineering', 'Production']",full-time,1 - 5 years of experience,"['Alba Iulia', ' Blaj']",04.04.2024,  On-site
Analist Calitate,Akkodis Romania,"['Controlul calitatii', 'Inginerie', 'Productie']",full-time ,0 - 1 an experienta,['Titu'],03.04.2024,  On-site
Agent vanzari D2D,Vodafone Romania,"['Telecomunicatii', 'Vanzari']",full-time ,0 - 1 an experienta,"['BUCURESTI', ' Giurgiu', ' Ilfov']",03.04.2024,  On-site
Financial Analyst-Planning and Controlling,UniCredit Bank,['Banci'],full-time ,1 - 5 ani experienta,['BUCURESTI'],29.03.2024,  Hybrid 
Senior Internal Auditor - Risk Management,UniCredit Bank,['Banci'],full-time ,1 - 5 ani experienta,['BUCURESTI'],29.03.2024,  Hybrid 
Customer Support with Romanian,Skywind Group,['Customer support - Client service'],full-time ,0 - 1 an experienta,['BUCURESTI'],13.03.2024,  On-site
Transfer Pricing Consultant,EY Romania,['Contabilitate Finante'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Angajam Ucenic Mecanic Auto,Professional,['Altele'],full-time ,0 - 1 an experienta,"['BUCURESTI', ' Constanta']",09.04.2024,  On-site
Junior / Middle  Architect,Teamland,"['Arhitectura - Design - Proiectare', 'Imobiliare - Real Estate']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Office Assistant - Distributie Ambalaje (sector 1),QLT® Group România | Recrutare,"['Customer support - Client service', 'Secretariat - Administrativ']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Biochimist / Nutritionist- Consilier Vanzare Suplimente,QLT® Group România | Recrutare,"['Farmacie - Medicina', 'Retail - Comert', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Asistent Vanzare Plafar - Premium Brand ,QLT® Group România | Recrutare,"['Controlul calitatii', 'Farmacie - Medicina', 'Vanzari']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Specialist Creditare PF si consiliere IMM - Agentia Aviatiei,Raiffeisen Bank,['Banci'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Sofer distributie ,Grup Cris-Tim,['Transporturi'],full-time ,0 - 1 an experienta,['Constanta'],09.04.2024,  On-site
L2 Digital Identity Support Engineer,Randstad Digital Romania,['IT Software'],full-time ,1 - 5 ani experienta,"['BUCURESTI', ' Sibiu']",09.04.2024,  Remote 
IT Compliance and Quality Control Officer,Randstad Digital Romania,['IT Software'],full-time ,peste 5 ani experienta,"['BUCURESTI', ' Sibiu']",09.04.2024,  Remote 
AWS Cloud Engineer,Randstad Digital Romania,"['Inginerie', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Remote 
Azure Cloud Engineer,Randstad Digital Romania,['IT Software'],full-time ,1 - 5 ani experienta,"['BUCURESTI', ' Sibiu']",09.04.2024,  Remote 
Tech Support Tier 1 - Bucuresti,Computer Generated Solutions Romania,"['IT Hardware', 'IT Software', 'Telecomunicatii']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Charter Flight Specialist,Dertour,['Turism'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
GCP Engineer,Randstad Digital Romania,['IT Software'],full-time ,1 - 5 ani experienta,"['BUCURESTI', ' Sibiu']",09.04.2024,  Remote 
Customer Support,Teamland,"['Customer support - Client service', 'Retail - Comert', 'Vanzari']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Reprezentant Zonal de Vanzari,Personnel Outsourcing,"['Achizitii - Logistica - Aprovizionare', 'Transporturi', 'Vanzari']",full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
Cris-Tim angajeaza Preparator Produse Culinare in Bucurestii Noi,Grup Cris-Tim,['Productie'],full-time ,1 - 5 ani experienta,"['Balotesti', ' BUCURESTI', ' Ilfov']",09.04.2024,  On-site
Chemical Design Engineer II ( Hybrid),Honeywell,['Chemistry - Petrochemistry'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Advanced Chemical Engineer (Hybrid),Honeywell,['Chemistry - Petrochemistry'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Sr. Controllership Analyst / Statuttory Reporting - Hybrid,Honeywell,['Accounting - Finance'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
SOC Cyber Security Expert (Hybrid),Honeywell,['IT Software'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Sr. Procurement Buyer (with German) - Hybrid,Honeywell,['Acquisitions - Logistics - Supplies'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Assistant Entity Controller / Business Analyst (Hybrid),Honeywell,['Accounting - Finance'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Chemical Design Engineer I ( Hybrid),Honeywell,['Engineering'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  On-site
Chemical Design Engineer II ( Hybrid),Honeywell,['Chemistry - Petrochemistry'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Electrician Mentenanta Aeroport Cluj - Napoca,Job Consult,['Constructii'],full-time ,1 - 5 ani experienta,['Cluj Napoca'],09.04.2024,  On-site
Inginer proiectant HVAC,Job Consult,['Inginerie'],full-time ,1 - 5 ani experienta,['Cluj Napoca'],09.04.2024,  On-site
Tehnician interventii si prezentare servicii,Randstad România,['Altele'],full-time ,1 - 5 ani experienta,['Sibiu'],09.04.2024,  On-site
EXPEDITOR INTERNATIONAL ,Personnel Outsourcing,"['Achizitii - Logistica - Aprovizionare', 'Transporturi']",full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
Back office cu limba Germana - Junior,Randstad România,"['Asigurari - Intermedieri financiare', 'Contabilitate Finante', 'Secretariat - Administrativ']",full-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  Hybrid 
Customer Support with Italian,SalesConsulting,['Customer Support - Client Service'],full-time,0 - 1 years of experience,['Sibiu'],09.04.2024,  Remote 
Process Engineer,KYOCERA AVX Components (Timisoara),['Engineering'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Planner,KYOCERA AVX Components (Timisoara),['Production'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Operator Call Center - ITALIANA - Municipiul IASI,Personnel Outsourcing,"['Altele', 'Customer support - Client service', 'Telecomunicatii']",full-time ,0 - 1 an experienta,['Iasi'],09.04.2024,  On-site
Agent de vânzări,Job Consult,['Vanzari'],full-time ,1 - 5 ani experienta,['Cluj Napoca'],09.04.2024,  On-site
Asistent educator grădiniță privată,Job Consult,['Educatie - Training'],full-time ,0 - 1 an experienta,['Cluj Napoca'],09.04.2024,  On-site
Educator - Limba Franceză Avansat (grădiniță privată),Job Consult,['Educatie - Training'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Electrician (deplasari in strainatate),Job Consult,['Constructii'],full-time ,1 - 5 ani experienta,['Pitesti'],09.04.2024,  On-site
Inginer Proiectant (TEKLA),Job Consult,"['Constructii', 'Inginerie']",full-time ,1 - 5 ani experienta,['Cluj Napoca'],09.04.2024,  On-site
Operator Producție Fabrică de Medicamente,Job Consult,['Productie'],full-time ,0 - 1 an experienta,['Cluj Napoca'],09.04.2024,  On-site
QA Engineer,Euro-Testing Software Solutions,"['Banks - Financial Institutions', 'IT Software']",full-time,1 - 5 years of experience,"['Alt oras', ' BUCHAREST']",09.04.2024,  Hybrid 
Service Desk Internships - Steelcase,Entry Level Jobs in TOP Companies - Hipo.ro,"['Internship', 'IT Hardware', 'IT Software']",full-time,Student/Graduate,['Cluj Napoca'],09.04.2024,  On-site
Sales & Business Developer – Proiecte,ABC Human Capital,"['Arhitectura - Design - Proiectare', 'Constructii', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
"Responsabil expediere comenzi - Falticeni, Suceava",ABC Human Capital,['Achizitii - Logistica - Aprovizionare'],full-time ,0 - 1 an experienta,['Suceava'],09.04.2024,  On-site
Inginer proiectant echipamente sub presiune – conducte si recipiente metalice – servicii de inginerie si asistență tehnica,ABC Human Capital,['Inginerie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Inginer proiectant structuri metalice – servicii de inginerie si asistență tehnica,ABC Human Capital,['Inginerie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Inginer vânzări B2B - Alba,ABC Human Capital,['Vanzari'],full-time ,1 - 5 ani experienta,"['Alba Iulia', ' Sibiu']",09.04.2024,  On-site
Inginer vânzări B2B - Sibiu,ABC Human Capital,['Vanzari'],full-time ,1 - 5 ani experienta,"['Alba Iulia', ' Sibiu']",09.04.2024,  On-site
Coordonator Transport,ABC Human Capital,['Achizitii - Logistica - Aprovizionare'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Avocat definitiv – despagubiri accidente vatamari corporale,ABC Human Capital,['Juridic'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
